x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.972111203,90.5504763872,90.1297754225,89.7100021313,89.2911504038,88.8732141968,88.4561875331,88.0400645001,87.6248392491,87.2105059942,86.7970590112,86.384492637,85.9728012687,85.5619793624,85.1520214324,84.7429220507,84.3346758456,83.9272775013,83.5207217571,83.1150034059,82.7101172941,82.30605832,81.9028214327,81.5004016305,81.0987939581,80.6979935034,80.2979953914,79.898794776
21.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.972111203,90.5504763872,90.1297754225,89.7100021313,89.2911504038,88.8732141968,88.4561875331,88.0400645001,87.6248392491,87.2105059942,86.7970590111,86.384492637,85.9728012687,85.5619793624,85.1520214323,84.7429220505,84.3346758451,83.9272775003,83.5207217546,83.1150034004,82.710117282,82.3060582945,81.9028213803,81.5004015256,81.0987937539,80.6979931162,80.2979946754,79.898793484
22.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.972111203,90.5504763872,90.1297754225,89.7100021313,89.2911504038,88.8732141968,88.4561875331,88.0400645001,87.6248392491,87.2105059941,86.7970590111,86.384492637,85.9728012687,85.5619793622,85.1520214319,84.7429220495,84.3346758428,83.9272774948,83.5207217425,83.1150033743,82.7101172276,82.3060581841,81.9028211625,81.5004011076,81.0987929727,80.6979916928,80.2979921456,79.8987890947
23.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.972111203,90.5504763872,90.1297754225,89.7100021313,89.2911504038,88.8732141968,88.4561875331,88.0400645001,87.6248392491,87.2105059941,86.7970590111,86.3844926369,85.9728012683,85.5619793613,85.1520214297,84.7429220442,84.3346758308,83.9272774685,83.5207216866,83.115003259,82.7101169969,82.3060577354,81.902820314,81.5003995456,81.0987901708,80.6979867918,80.2979837797,79.8987751485
24.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.972111203,90.5504763872,90.1297754225,89.7100021313,89.2911504038,88.8732141968,88.4561875331,88.0400645001,87.6248392491,87.210505994,86.7970590108,86.384492636,85.9728012662,85.5619793562,85.152021418,84.7429220179,84.3346757738,83.9272773491,83.5207214438,83.1150027803,82.71011608,82.3060560284,81.9028172213,81.5003940884,81.098780784,80.6979710405,80.2979579752,79.8987338463
25.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.972111203,90.5504763872,90.1297754225,89.7100021313,89.2911504038,88.8732141968,88.4561875331,88.0400645,87.6248392488,87.2105059933,86.7970590089,86.3844926313,85.9728012549,85.5619793303,85.1520213607,84.7429218954,84.3346755204,83.9272768416,83.5207204585,83.1150009233,82.7101126791,82.30604997,81.9028067141,81.5003763312,81.0987515178,80.6979239631,80.2978840079,79.8986202503
26.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.972111203,90.5504763872,90.1297754225,89.7100021313,89.2911504037,88.8732141967,88.4561875328,88.0400644994,87.6248392471,87.2105059889,86.7970589982,86.3844926061,85.9728011979,85.5619792059,85.1520210985,84.7429213615,84.3346744681,83.9272748316,83.5207167337,83.1149942191,82.7101009472,82.3060299901,81.9027735697,81.5003227271,81.0986669288,80.6977936166,80.2976877226,79.8983311792
27.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.972111203,90.5504763872,90.1297754225,89.7100021313,89.2911504036,88.8732141962,88.4561875314,88.0400644955,87.6248392372,87.2105059649,86.7970589423,86.3844924813,85.9728009294,85.5619786488,85.1520199821,84.7429191978,84.3346704066,83.9272674388,83.5207036698,83.1149717842,82.7100634665,82.3059690181,81.9026769006,81.500173223,81.0984411994,80.6974606156,80.2972073552,79.8976530253
28.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.972111203,90.5504763871,90.1297754224,89.7100021308,89.2911504023,88.8732141928,88.4561875224,88.0400644729,87.6248391833,87.2105058413,86.7970586703,86.3844919054,85.9727997541,85.5619763341,85.1520155752,84.7429110767,84.3346559021,83.9272423017,83.5206613512,83.1149025039,82.7099530636,82.3057976003,81.9024173444,81.4997896128,81.097887328,80.6966786918,80.2961270385,79.8961907803
29.0,100.497777778,100.053883416,99.6110783643,99.1693546415,98.7287043645,98.2891197454,97.8505930897,97.4131167953,96.9766833506,96.5412853332,96.1069154083,95.6735663272,95.2412309261,94.8099021246,94.3795729241,93.9502364071,93.5218857353,93.0945141486,92.6681149637,92.2426815732,91.818207444,91.3946861164,90.9721112029,90.5504763868,90.1297754214,89.7100021279,89.2911503944,88.8732141721,88.4561874714,88.0400643526,87.6248389114,87.2105052523,86.7970574437,86.3844894461,85.9727949986,85.5619674507,85.1519995226,84.7428829776,84.3346081983,83.9271636634,83.5205353387,83.1147060117,82.7096546188,82.3053556327,81.901778589,81.4988878279,81.0966425035,80.6949968092,80.2939000802,79.8932958196
