x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
20.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914303,91.0816390918,90.6604259108,90.2401456471,89.8207921292,89.4023592534,88.9848409826,88.5682313456,88.1525244356,87.7377144099,87.3237954882,86.9107619521,86.4986081444,86.0873284675,85.676917383,85.267369411,84.8586791286,84.4508411696,84.0438502236,83.6377010347,83.2323884012,82.8279071738,82.4242522553,82.0214185979,81.6194012017,81.2181951104,80.8177954065,80.4181972024,80.019395628
21.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914303,91.0816390918,90.6604259108,90.2401456471,89.8207921292,89.4023592534,88.9848409826,88.5682313456,88.1525244356,87.7377144099,87.3237954882,86.9107619521,86.4986081444,86.0873284674,85.676917383,85.2673694108,84.8586791282,84.4508411687,84.0438502215,83.6377010299,83.2323883905,82.8279071511,82.4242522079,82.0214185021,81.6194010133,81.2181947503,80.817794736,80.4181959857,80.0193934749
22.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914303,91.0816390918,90.6604259108,90.2401456471,89.8207921292,89.4023592534,88.9848409826,88.5682313456,88.1525244356,87.7377144099,87.3237954882,86.9107619521,86.4986081443,86.0873284673,85.6769173826,85.26736941,84.8586791262,84.4508411641,84.043850211,83.6377010069,83.2323883417,82.8279070508,82.4242520081,82.0214181151,81.6194002843,81.2181934136,80.8177923486,80.4181918291,80.0193864151
23.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914303,91.0816390918,90.6604259108,90.2401456471,89.8207921292,89.4023592534,88.9848409826,88.5682313456,88.1525244356,87.7377144099,87.3237954881,86.910761952,86.498608144,86.0873284666,85.6769173808,85.2673694055,84.8586791159,84.450841141,84.0438501612,83.637700903,83.2323881313,82.8279066374,82.4242512195,82.0214166527,81.6193976462,81.2181887798,80.8177844176,80.4181785932,80.0193648623
24.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914303,91.0816390918,90.6604259108,90.2401456471,89.8207921292,89.4023592534,88.9848409826,88.5682313456,88.1525244356,87.7377144098,87.3237954879,86.9107619514,86.4986081423,86.0873284624,85.6769173708,85.2673693828,84.8586790657,84.4508410342,84.0438499413,83.6377004643,83.2323872829,82.8279050448,82.4242483151,82.0214115023,81.6193887575,81.218173839,80.8177599409,80.4181394841,80.0193038783
25.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914303,91.0816390918,90.6604259108,90.2401456471,89.8207921292,89.4023592534,88.9848409826,88.5682313455,88.1525244354,87.7377144092,87.3237954863,86.9107619475,86.4986081329,86.0873284402,85.6769173208,85.2673692742,84.8586788379,84.4508405721,84.0438490341,83.6376987385,83.2323840983,82.8278993387,82.424238378,82.0213946695,81.6193609996,81.2181292457,80.8176901011,80.4180327842,80.0191447627
26.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914303,91.0816390918,90.6604259108,90.2401456471,89.8207921292,89.4023592533,88.9848409824,88.568231345,88.1525244341,87.7377144057,87.3237954775,86.9107619263,86.4986080838,86.0873283311,85.6769170872,85.2673687914,84.8586778744,84.4508387124,84.0438455578,83.6376924388,83.2323730194,82.8278804128,82.4242069454,82.0213438742,81.6192810694,81.2180066861,80.8175068621,80.417765492,80.0187641355
27.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914303,91.0816390918,90.6604259108,90.2401456471,89.820792129,89.4023592529,88.9848409813,88.5682313419,88.152524426,87.7377143858,87.3237954301,86.9107618181,86.4986078468,86.0873278314,85.6769160717,85.2673667996,84.8586740983,84.4508317842,84.0438332421,83.6376712058,83.2323374803,82.8278226119,82.4241155224,82.0212031381,81.619070063,81.2176983562,80.8170674878,80.4171545437,80.0179347427
28.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914303,91.0816390917,90.6604259107,90.2401456467,89.8207921281,89.4023592503,88.9848409742,88.5682313236,88.152524381,87.7377142801,87.3237951928,86.9107613063,86.4986067857,86.087325713,85.6769119924,85.2673592127,84.8586604519,84.4508080187,84.0437931251,83.6376055008,83.2322329707,82.8276610371,82.4238725294,82.0208473964,81.6185627313,81.2169931112,80.8161113182,80.4158894675,80.0163005189
29.0,100.59778,100.154329533,99.7119672859,99.2706852869,98.8304756602,98.3913306256,97.9532424966,97.5162036785,97.0802066672,96.6452440479,96.2113084929,95.7783927609,95.3464896952,94.9155922224,94.4856933512,94.0567861707,93.6288638496,93.2019196344,92.7759468487,92.3509388916,91.9268892365,91.5037914302,91.0816390915,90.66042591,90.2401456446,89.820792122,89.4023592339,88.9848409324,88.5682312223,88.1525241469,87.7377137623,87.3237940949,86.9107590708,86.4986024061,86.0873174441,85.6768969252,85.2673326804,84.8586152451,84.450733407,84.0436737176,83.6374200233,83.2319530946,82.8272504491,82.4232864751,82.0200329518,81.6174600308,81.2155376939,80.8142376265,80.413535371,80.0134125398
