time_y,drainage_area_m2,depr_area_m2,depr_depth_m,depr_perimeter_m,debr_removed_m3
0.000000000000000000e+00,1.530000000000000000e+02,1.000000000000000000e+00,-9.981169417285684631e-02,4.000000000000000000e+00,6.184658438426490041e-05
5.000000000000000104e-03,1.530000000000000000e+02,1.000000000000000000e+00,-9.979299761970139571e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.000000000000000021e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.977434205285362623e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.499999999999999944e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.975572764915341395e-02,4.000000000000000000e+00,6.184658438426490041e-05
2.000000000000000042e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.973715458441745341e-02,4.000000000000000000e+00,6.184658438426490041e-05
2.500000000000000139e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.971862303338241418e-02,4.000000000000000000e+00,6.184658438426490041e-05
2.999999999999999889e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.970013316980441687e-02,4.000000000000000000e+00,6.184658438426490041e-05
3.500000000000000333e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.968168516631692455e-02,4.000000000000000000e+00,6.184658438426490041e-05
4.000000000000000083e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.966327919458706219e-02,4.000000000000000000e+00,6.184658438426490041e-05
4.499999999999999833e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.964491542518771894e-02,4.000000000000000000e+00,6.184658438426490041e-05
5.000000000000000278e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.962659402765439154e-02,4.000000000000000000e+00,6.184658438426490041e-05
5.500000000000000028e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.960831517047097350e-02,4.000000000000000000e+00,6.184658438426490041e-05
5.999999999999999778e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.959007902109817678e-02,4.000000000000000000e+00,6.184658438426490041e-05
6.500000000000000222e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.957188574590247754e-02,4.000000000000000000e+00,6.184658438426490041e-05
7.000000000000000666e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.955373551024138123e-02,4.000000000000000000e+00,6.184658438426490041e-05
7.499999999999999722e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.953562847839236838e-02,4.000000000000000000e+00,6.184658438426490041e-05
8.000000000000000167e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.951756481359552708e-02,4.000000000000000000e+00,6.184658438426490041e-05
8.500000000000000611e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.949954467802513136e-02,4.000000000000000000e+00,6.184658438426490041e-05
8.999999999999999667e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.948156823278964112e-02,4.000000000000000000e+00,6.184658438426490041e-05
9.500000000000000111e-02,1.530000000000000000e+02,1.000000000000000000e+00,-9.946363563798854557e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.000000000000000056e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.944574705261288727e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.049999999999999961e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.942790263460210554e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.100000000000000006e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.941010254088666898e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.150000000000000050e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.939234692726017784e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.199999999999999956e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.937463594852147253e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.250000000000000000e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.935696975837515765e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.300000000000000044e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.933934850948844542e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.350000000000000089e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.932177235342010135e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.400000000000000133e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.930424144071992032e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.449999999999999900e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.928675592082925050e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.499999999999999944e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.926931594216625854e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.549999999999999989e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.925192165204066441e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.600000000000000033e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.923457319673900656e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.650000000000000078e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.921727072145358761e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.700000000000000122e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.920001437031089608e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.750000000000000167e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.918280428638581725e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.799999999999999933e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.916564061167321142e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.849999999999999978e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.914852348710212482e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.900000000000000022e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.913145305253578954e-02,4.000000000000000000e+00,6.184658438426490041e-05
1.950000000000000067e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.911442944675741273e-02,4.000000000000000000e+00,6.184658438426490041e-05
2.000000000000000111e-01,1.530000000000000000e+02,1.000000000000000000e+00,-9.909745280751280916e-02,4.000000000000000000e+00,6.184658438426490041e-05
