time(y),mp_elev(m),dep_area(m^2)
0.0,0.004700854700857349,13.0
0.2,0.15201788306333697,111.0
0.4,0.2931164170470879,157.0
0.6000000000000001,0.4094408892353414,179.0
0.8,0.5020686223026871,199.0
1.0,0.5678722402698497,211.0
1.2000000000000002,0.6128485531773009,230.0
1.4000000000000001,0.6454298830481093,247.0
1.6,0.6663471500413465,255.0
1.8,0.6789355910549091,270.0
2.0,0.6848038775273153,290.0
2.2,0.6833650159733367,301.0
2.4000000000000004,0.6772871908392091,320.0
2.6,0.666672669574524,334.0
2.8000000000000003,0.6512196017497018,344.0
3.0,0.6333303038198608,365.0
3.2,0.6124127613600763,379.0
3.4000000000000004,0.5883416849507768,394.0
3.6,0.5632882352835082,407.0
3.8000000000000003,0.5364842891561636,425.0
4.0,0.5078643946349501,447.0
4.2,0.47930741954586153,460.0
4.4,0.45015019863831185,476.0
4.6000000000000005,0.4202389220456837,486.0
4.800000000000001,0.39107106242366285,512.0
5.0,0.362268371724241,532.0
5.2,0.33347221024396845,546.0
5.4,0.30573597162957356,555.0
5.6000000000000005,0.2791063560208187,575.0
5.800000000000001,0.2529447940782461,595.0
6.0,0.22782825618017455,612.0
6.2,0.20434414977010817,630.0
6.4,0.18153154426475737,638.0
6.6000000000000005,0.15948217851993718,645.0
6.800000000000001,0.13942081847430643,671.0
7.0,0.12004504429393137,683.0
7.2,0.10131343855796615,693.0
7.4,0.08413047461030487,708.0
7.6000000000000005,0.06788208616129054,718.0
7.800000000000001,0.0521630042097172,726.0
8.0,0.03731117339771117,730.0
8.200000000000001,0.023702404918253706,742.0
8.4,0.010484102046845578,729.0
8.6,-0.0023987190098750943,690.0
8.8,-0.014028544458099645,660.0
9.0,-0.02524083351741524,637.0
9.200000000000001,-0.03623508395088493,625.0
9.4,-0.04671478839775034,609.0
9.600000000000001,-0.05633702260094253,592.0
9.8,-0.06583087424300516,578.0
10.0,-0.07522594086943002,567.0
10.200000000000001,-0.08385750530186442,558.0
10.4,-0.09214976479621839,551.0
10.600000000000001,-0.1003993739012401,549.0
10.8,-0.10859913520064879,527.0
11.0,-0.11591434651717236,519.0
11.200000000000001,-0.12322469195319741,516.0
11.4,-0.13054246608767528,506.0
11.600000000000001,-0.1376600741981946,493.0
11.8,-0.144186645753976,486.0
12.0,-0.15074227837577325,478.0
12.200000000000001,-0.15733292383184505,465.0
12.4,-0.1636474360086453,454.0
12.600000000000001,-0.1695521399398956,451.0
12.8,-0.1755040858327419,439.0
13.0,-0.1815051380357744,431.0
13.200000000000001,-0.18722341480392402,417.0
13.4,-0.19261964248779861,419.0
13.600000000000001,-0.1980718999837734,404.0
13.8,-0.20357942251509087,398.0
14.0,-0.20885928606296034,386.0
14.200000000000001,-0.21382719474654266,386.0
14.4,-0.2188543607801705,376.0
14.600000000000001,-0.2239383400539623,365.0
14.8,-0.22890288813584903,354.0
15.0,-0.2335014250134293,347.0
15.200000000000001,-0.2381591931874283,341.0
15.4,-0.24287270200952094,333.0
15.600000000000001,-0.2476193783979994,323.0
15.8,-0.25189352101338613,319.0
16.0,-0.25622501987757573,314.0
16.2,-0.26060976842360617,302.0
16.400000000000002,-0.2650425300855659,296.0
16.6,-0.2692016138223323,290.0
16.8,-0.27324133214082735,276.0
17.0,-0.27733112202830057,276.0
17.2,-0.28146561190933994,255.0
