time(y),mp_elev(m),dep_area(m^2)
0.0,0.0,0.0
0.2,0.002494386815712346,14.0
0.4,0.056987894761093116,84.0
0.6000000000000001,0.13131148012072913,197.0
0.8,0.21480894630252578,319.0
1.0,0.29782140471094465,408.0
1.2000000000000002,0.37776889152411286,471.0
1.4000000000000001,0.45474702899480235,526.0
1.6,0.5288376699291462,577.0
1.8,0.6001095399223999,611.0
2.0,0.668619284853861,644.0
2.2,0.7344131549470347,666.0
2.4000000000000004,0.7975294269145081,697.0
2.6,0.8580015123859113,725.0
2.8000000000000003,0.9158615507617895,733.0
3.0,0.9711441674960497,760.0
3.2,1.0238900187229945,770.0
3.4000000000000004,1.0750276107903574,789.0
3.6,1.1240287245163785,805.0
3.8000000000000003,1.170689310152298,818.0
4.0,1.2150863316907703,832.0
4.2,1.2573083131553915,846.0
4.4,1.2974535358101633,864.0
4.6000000000000005,1.33562763095928,876.0
4.800000000000001,1.3719408330208012,880.0
5.0,1.4065051436472373,889.0
5.2,1.4394316206009279,897.0
5.4,1.4708279557465858,905.0
5.6000000000000005,1.5007964538065295,913.0
5.800000000000001,1.5294324743230163,919.0
6.0,1.5575667022476125,926.0
6.2,1.5846995568759183,936.0
6.4,1.6107520260537882,944.0
6.6000000000000005,1.6357814560326176,948.0
6.800000000000001,1.659837178380272,955.0
7.0,1.6829612932731095,973.0
7.2,1.7051896030782387,981.0
7.4,1.72655262540502,987.0
7.6000000000000005,1.7470766219759213,997.0
7.800000000000001,1.7667845892647733,1001.0
8.0,1.785697168011879,1003.0
8.200000000000001,1.8038334405223395,1005.0
8.4,1.8212115963373776,1009.0
8.6,1.8381529017577805,1014.0
8.8,1.8548140325110012,1024.0
9.0,1.870785393571552,1040.0
9.200000000000001,1.886083239782792,1040.0
9.4,1.9007242877899557,1044.0
9.600000000000001,1.9147257068672303,1050.0
9.8,1.928105050001676,1052.0
10.0,1.9408801438570578,1058.0
10.200000000000001,1.9530689543777981,1064.0
10.4,1.9646894423541141,1064.0
10.600000000000001,1.97575942054263,1073.0
10.8,1.9862964211557141,1079.0
11.0,1.9963175798107073,1085.0
11.200000000000001,2.005839539798032,1093.0
11.4,2.0151671769089177,1104.0
11.600000000000001,2.0243762947963404,1110.0
11.8,2.0331439501131143,1120.0
12.0,2.041482859576206,1122.0
12.200000000000001,2.0494050783023994,1128.0
12.4,2.0569220301256337,1132.0
12.600000000000001,2.064044547262199,1138.0
12.8,2.070782916196066,1142.0
13.0,2.0771469269359812,1152.0
13.200000000000001,2.0831459231691554,1158.0
13.4,2.0887888512620094,1162.0
13.600000000000001,2.0940843065004344,1164.0
13.8,2.099040575365393,1166.0
14.0,2.1036656730587424,1172.0
14.200000000000001,2.1079673760807083,1182.0
14.4,2.1124805791479417,1187.0
14.600000000000001,2.1167184619317965,1191.0
14.8,2.120663596352472,1197.0
15.0,2.1243220711465796,1201.0
15.200000000000001,2.1276998247517156,1211.0
15.4,2.1308026585147957,1217.0
15.600000000000001,2.133636247060892,1221.0
15.8,2.1362061463253212,1228.0
16.0,2.13851779971597,1236.0
16.2,2.140576542823439,1240.0
16.400000000000002,2.142387607039879,1248.0
16.6,2.143956122385532,1258.0
16.8,2.1452871197535472,1260.0
17.0,2.1463855327938006,1260.0
17.2,2.147256199673123,1274.0
17.400000000000002,2.1483425841106936,1279.0
17.6,2.149266359906207,1285.0
17.8,2.149983219552155,1293.0
18.0,2.15049697433399,1297.0
18.2,2.1508113462943186,1307.0
18.400000000000002,2.150929973491017,1307.0
18.6,2.150856415060602,1309.0
18.8,2.1505941560388635,1309.0
19.0,2.150146611895593,1317.0
19.200000000000003,2.1495171327470644,1321.0
19.400000000000002,2.148709007218102,1325.0
19.6,2.1477254659337888,1335.0
19.8,2.1465696846182567,1345.0
20.0,2.145244786786364,1349.0
20.200000000000003,2.1437538461280496,1353.0
20.400000000000002,2.1422265509940814,1360.0
20.6,2.140850439959266,1370.0
20.8,2.13932310238836,1376.0
21.0,2.137646959744174,1382.0
21.200000000000003,2.1358243881457355,1384.0
21.400000000000002,2.1338577211880505,1391.0
21.6,2.1317492524960073,1403.0
21.8,2.1295012380289364,1407.0
22.0,2.1271158981527947,1413.0
22.200000000000003,2.124595419496771,1419.0
22.400000000000002,2.121941956610428,1427.0
22.6,2.1191576334368847,1431.0
22.8,2.1162445446159666,1439.0
23.0,2.1132047566185435,1441.0
23.200000000000003,2.1100403087278465,1441.0
23.400000000000002,2.1067532139382337,1445.0
23.6,2.1033983897364408,1450.0
23.8,2.1002659520152065,1456.0
24.0,2.097021610837217,1460.0
24.200000000000003,2.0936669349321733,1466.0
24.400000000000002,2.09020346767943,1474.0
24.6,2.0866327287679667,1482.0
24.8,2.0829562157490216,1490.0
25.0,2.079175405481152,1506.0
25.200000000000003,2.075291755467447,1506.0
25.400000000000002,2.0713067050851066,1516.0
25.6,2.067221676708016,1522.0
25.8,2.0630380767237,1526.0
26.0,2.05875729644616,1526.0
26.200000000000003,2.054380712922921,1534.0
26.400000000000002,2.049909689627853,1536.0
26.6,2.0453455770842766,1542.0
26.8,2.0406897134085114,1544.0
27.0,2.036097193169681,1547.0
27.200000000000003,2.031620802402003,1553.0
27.400000000000002,2.0270605203123466,1560.0
27.6,2.022417377048029,1576.0
27.8,2.0176923907993682,1580.0
28.0,2.0128865687380255,1590.0
28.200000000000003,2.0080009078774026,1590.0
28.400000000000002,2.003036395856938,1594.0
28.6,1.9979940116524801,1598.0
28.8,1.9928747262150779,1606.0
29.0,1.9876795030409653,1612.0
