time(y),mp_elev(m),dep_area(m^2)
0.0,-0.009542483660126777,2.0
0.2,0.0947048344301038,142.0
0.4,0.26012142894396106,372.0
0.6000000000000001,0.42036545283188786,506.0
0.8,0.5681687331699408,589.0
1.0,0.703966653779915,654.0
1.2000000000000002,0.8280139895612422,709.0
1.4000000000000001,0.9405225386672527,744.0
1.6,1.0434882339191773,785.0
1.8,1.1366357102405118,814.0
2.0,1.2200666654188126,832.0
2.2,1.294834800828923,870.0
2.4000000000000004,1.3620703189052534,883.0
2.6,1.4228370941743407,897.0
2.8000000000000003,1.4797348196175903,920.0
3.0,1.5319940016751161,938.0
3.2,1.5798970075603336,948.0
3.4000000000000004,1.6237677660078873,959.0
3.6,1.6638422072047945,985.0
3.8000000000000003,1.700316526968706,999.0
4.0,1.7348399090447657,1010.0
4.2,1.7663123971785382,1026.0
4.4,1.7948021467705644,1044.0
4.6000000000000005,1.8204997260016,1048.0
4.800000000000001,1.8435939705328792,1060.0
5.0,1.8642649048710638,1066.0
5.2,1.883678285703823,1079.0
5.4,1.9013764649867397,1106.0
5.6000000000000005,1.9171328496417317,1124.0
5.800000000000001,1.9310561344645976,1128.0
6.0,1.9432448843220982,1138.0
6.2,1.9537898932803728,1148.0
6.4,1.9631658555640428,1169.0
6.6000000000000005,1.9718759236342578,1187.0
6.800000000000001,1.9792120019868236,1193.0
7.0,1.9852367740717227,1203.0
7.2,1.9900098830761408,1215.0
7.4,1.993588191709506,1235.0
7.6000000000000005,1.9960259671224492,1247.0
7.800000000000001,1.998113428786084,1255.0
8.0,1.999500306560961,1275.0
8.200000000000001,1.999917196331566,1287.0
8.4,1.9994027092999431,1303.0
8.6,1.9979938350983133,1309.0
8.8,1.9957261308167062,1323.0
9.0,1.9926338593490698,1333.0
9.200000000000001,1.9895558070433026,1342.0
9.4,1.985880970713552,1366.0
9.600000000000001,1.981495527488704,1376.0
9.8,1.9764244297763298,1390.0
10.0,1.9706917847077818,1406.0
10.200000000000001,1.9643209319281567,1419.0
10.4,1.9573345033071234,1427.0
